"Enabled", "Activo"
"Module Enabled", "Modulo Habilitado"
"Public API Key", "Clave API pública"
"Private API Key", "Clave API privada"
"Product Simulator Enabled", "Simulador en página de Producto habilitado"
" Yes", " Si"
" No", " No"
"Testing or Production", "Testing o Producción"
" Production", " Producción"
" Testing", " Testing"
"How to open the payment", "Abrir usando ..."
"Product simulator location", "Simulador en página de producto"
"Product simulator", "Tipo de simulador en la página de producto"
"Checkout simulator", "Simulador en la página de checkout"
"PaymentMethod Order", "Posición en la página de checkout"
" Do not show", " No mostrar"
" Complete", " Completo"
" Mini (Recomended)", " Mini (Recomendado)"
" Selector", " Selector"
" Descriptive Text", " Texto Descriptivo"
"Minimum cart amount (ex: 24.99)", "Mínimo importe a financiar (ej: 24.99)"
"Finance with Pagantis", "Financiar con Pagantis"
"Checkout Pay Option Title", "Frase en el método de pago"
"Checkout Progress Title", "Frase en el progreso del checkout"
"Finance with Pagantis", "Financiar con Pagantis"
"Success Url", "URL Confirmación"
"Failure Url", "URL Fallo"
"Number of default installments", "Número de cuotas por defecto"
"Are you sure you want to leave?", "¿Está seguro de que desea abandonar esta página?"
"Instant financing - 100% online", "Financiación instantánea - 100% online"
"Pagantis is an online financing platform.", "Pagantis es una plataforma de financiación online."
"Login to the Pagantis panel", "Login al panel de Pagantis"
"Documentation", "Documentación"
"Instant Financing", "Pago en cuotas"
