"Enabled", "Activée"
" Yes", " Oui"
" No", " Non"
"Testing or Production", "Essais ou production"
" Production", " Production"
" Testing", "Essai"
"How to open the payment", "Comment ouvrir le paiement"
"Product simulator location", "Emplacement du simulateur de produit"
"Product simulator", "Simulateur de produit"
"Checkout simulator", "Simulateur de caisse"
"PaymentMethod Order", "Méthode de paiement"
" Do not show", " Ne montre pas"
" Complete", " Achevée"
" Mini (Recomended)", " Mini (recommandé)"
" Selector", " Sélecteur"
" Descriptive Text", " Texte descriptif"
"Minimum cart amount (ex: 24.99)", "Montant minimum du panier (ex: 24.99)"
"Finance with Clearpay", "Financez avec Clearpay"
"Checkout Pay Option Title", "Titre de l'option de paiement"
"Checkout Progress Title", "Titre de progression de la caisse"
"Finance with Clearpay", "Financez avec Clearpay"
"Success Url", "URL de réussite"
"Failure Url", "Echec Url"
"Number of default installments", "Nombre de versements par défaut"
"Are you sure you want to leave?", "Êtes-vous sûr de vouloir quitter?"
"Instant financing - 100% online", "Paiement en plusieurs fois - 100% en ligne"
"Clearpay is an online financing platform.", "Clearpay est une plateforme de financement en ligne."
"Login to the Clearpay panel", "Connexion au panneau Clearpay"
"Documentation", "Documentation"
"Instant Financing", "Paiement en plusieurs fois"
